[[0.         0.         0.         0.         0.         0.         0.         0.         0.         1.38629436]
 [0.         1.09861229 0.         0.         0.         0.         0.         0.         0.         0.        ]
 [0.         0.69314718 0.         0.         0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.36243193 0.         0.         0.         0.36243193 0.36243193 0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.         0.         0.69314718]
 [0.         0.         0.         0.36243193 0.         0.         0.         0.36243193 0.36243193 0.        ]
 [0.         0.         0.         0.36243193 0.         0.         0.         0.36243193 0.36243193 0.        ]
 [0.         0.         0.         0.36243193 0.         0.         0.         0.36243193 0.36243193 0.        ]
 [0.         0.         0.         0.60253941 0.         0.         0.         0.38016004 0.38016004 0.        ]
 [0.         0.69314718 0.         0.         0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.         0.         1.60943791]
 [0.39720828 0.         0.         0.         0.         0.         0.62956022 0.         1.25912045 0.39720828]
 [0.         0.36243193 0.         0.         0.         0.         0.36243193 0.         0.         0.36243193]
 [0.34822915 0.43941626 0.         0.         0.76006526 0.34822915 0.         0.56793728 0.         0.34822915]
 [0.         0.         0.         0.         0.         0.         0.         0.69314718 0.         0.        ]
 [0.         0.         0.         0.         0.         0.81316515 1.32621524 0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.         0.69314718 0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.         0.         0.69314718]
 [0.         0.         0.         0.         0.         0.         0.69314718 0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.         0.69314718 0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.         0.         0.69314718]
 [0.         0.         0.         0.         0.         0.         0.         0.         0.         0.69314718]
 [0.         0.         0.         0.         0.         0.         0.69314718 0.         0.         0.        ]
 [0.         1.38629436 0.         0.         0.         0.         0.         0.         0.         0.        ]
 [0.         0.69314718 0.         0.         0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.77750412 0.98110096 0.         0.         0.        ]
 [0.29212133 0.         0.29212133 0.         0.         0.29212133 0.46300135 0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.69314718 0.         0.        ]
 [0.         0.         0.         0.69314718 0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.         0.69314718 0.        ]
 [0.         0.         0.         0.36243193 0.         0.         0.         0.36243193 0.36243193 0.        ]
 [0.         0.         0.         0.61604982 0.         0.         0.         0.77736832 0.38868416 0.        ]
 [0.         0.         0.         0.38016004 0.         0.         0.         0.38016004 0.60253941 0.        ]
 [0.         0.         0.         0.50153732 0.         0.         0.         0.79491785 0.         0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.         0.69314718 0.        ]
 [0.         0.         0.         0.36243193 0.         0.         0.         0.36243193 0.36243193 0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.69314718 0.         0.        ]
 [0.38016004 0.         0.38016004 0.         0.         0.         0.60253941 0.         0.         0.        ]
 [0.         0.         0.         0.48448909 0.         0.         0.         0.         0.48448909 0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.         0.         1.60943791]
 [0.         0.         0.         0.         0.         0.         0.         0.         0.         1.09861229]
 [0.         0.         0.         0.         0.         0.69314718 0.         0.         0.         0.        ]
 [0.18054224 0.36108448 0.         0.22781894 0.34172841 0.11390947 0.31978432 0.31978432 0.22781894 0.        ]
 [0.         0.         0.         0.36243193 0.         0.         0.         0.36243193 0.36243193 0.        ]
 [0.         0.         0.         0.36243193 0.         0.         0.         0.36243193 0.36243193 0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.69314718 0.         0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.         0.69314718 0.        ]
 [0.         0.         0.         0.         0.69314718 0.         0.         0.         0.         0.        ]
 [0.28251989 0.         0.28251989 0.         0.79313361 0.84755968 0.84755968 0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.         0.69314718 0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.         0.69314718 0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.         0.69314718 0.        ]
 [0.         0.         0.         0.36243193 0.         0.         0.         0.36243193 0.36243193 0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.69314718 0.         0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.69314718 0.         0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.         0.69314718 0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.         0.69314718 0.        ]
 [0.13737952 0.         0.13737952 0.         0.13737952 0.         0.27475903 0.21774138 0.21774138 0.13737952]
 [0.         0.         0.         0.         0.         0.         0.         0.         0.69314718 0.        ]
 [0.         0.38392007 0.         0.46418315 0.33069075 0.         0.38392007 0.42741159 0.49603612 0.        ]
 [0.         0.         0.         0.         0.69314718 0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.69314718 0.         0.         0.         0.        ]
 [0.34094419 0.         0.         0.         0.68188839 0.34094419 1.1325921  0.34094419 0.         0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.         0.69314718 0.        ]
 [0.52386743 0.         0.         0.         0.         0.         1.04773487 0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.         0.48448909 0.48448909 0.         0.        ]
 [0.         0.         0.         0.         0.         0.         0.69314718 0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.         0.69314718 0.        ]
 [0.         0.         0.         0.         0.         0.         0.         1.09861229 0.         0.        ]
 [0.         0.         0.         0.69314718 0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.69314718 0.         0.        ]
 [0.         0.         0.         0.         0.         0.69314718 0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.69314718 0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.         0.69314718 0.        ]
 [0.         0.         0.         0.         0.         1.09861229 0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.69314718 0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.69314718 0.         0.         0.         0.         0.        ]
 [0.         0.29212133 0.         0.         0.         0.         0.46300135 0.29212133 0.29212133 0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.48448909 0.48448909 0.        ]
 [0.         0.52071184 0.         0.         0.73091148 0.         0.41265437 0.41265437 0.26035592 0.        ]
 [0.         0.         0.         0.         0.         0.69314718 0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.58813826 0.         1.86435416 0.         0.         0.        ]
 [0.         0.         0.         0.         1.60106918 0.         0.8458782  0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.69314718 0.         0.         0.         0.        ]
 [0.03171668 0.03171668 0.         0.03171668 0.03171668 0.03171668 0.03171668 0.03171668 0.03171668 0.03171668]
 [0.         0.         0.         0.         0.         0.         0.         0.69314718 0.         0.        ]
 [0.         0.29212133 0.         0.         0.         0.         0.46300135 0.29212133 0.29212133 0.        ]
 [0.         0.35450297 0.         0.         0.22366647 0.         0.35450297 0.35450297 0.22366647 0.        ]
 [0.         0.         0.         0.         0.         0.         1.94591015 0.         0.         0.        ]
 [0.         0.         0.         0.48448909 0.         0.         0.         0.48448909 0.         0.        ]
 [0.         0.37558457 0.         0.         0.         0.59528745 0.59528745 0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.69314718 0.         0.        ]
 [0.48448909 0.         0.         0.         0.         0.48448909 0.         0.         0.         0.        ]
 [0.         0.50153732 0.         0.         0.         0.         0.79491785 0.         0.         0.        ]
 [0.         0.48671129 0.         0.24335565 0.         0.         0.38570957 0.24335565 0.24335565 0.        ]
 [0.         0.         0.         0.         0.         0.         2.19722458 0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.         1.09861229 0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.         0.69314718 0.        ]
 [0.         0.50153732 0.         0.         0.         0.         0.79491785 0.         0.         0.        ]
 [0.         0.59528745 0.         0.         0.59528745 0.         0.37558457 0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.         2.30258509 0.         0.         0.        ]
 [0.         0.         0.         0.         0.50153732 0.         0.79491785 0.         0.         0.        ]
 [0.         0.50153732 0.         0.         0.         0.         0.79491785 0.         0.         0.        ]
 [0.         0.88265902 0.         0.34145912 0.         0.         0.68291824 0.         0.34145912 0.        ]
 [0.         0.         0.         0.         0.         0.         2.56494936 0.         0.         0.        ]
 [0.         0.         0.         0.         0.69314718 0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.         2.07944154 0.         0.         0.        ]
 [0.         0.76789704 0.         0.         0.         0.         0.76789704 0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.         0.69314718 0.        ]
 [0.         0.41695516 0.         0.41695516 0.17957281 0.         0.28461618 0.35914563 0.41695516 0.        ]
 [0.         0.         0.         0.         0.         0.         2.30258509 0.         0.         0.        ]
 [0.         0.         0.         0.         0.48448909 0.         0.48448909 0.         0.         0.        ]
 [0.         0.76789704 0.         0.         0.         0.         0.76789704 0.         0.         0.        ]
 [0.         0.81417449 0.         0.40708724 0.         0.         0.40708724 0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.         2.19722458 0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.         0.69314718 0.        ]
 [0.         0.         0.         0.         0.50153732 0.         0.79491785 0.         0.         0.        ]
 [0.         0.         0.         0.         0.69314718 0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.69314718 0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.69314718 0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         1.38629436 0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.69314718 0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.69314718 0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.69314718 0.         0.         0.         0.         0.        ]
 [0.         0.76789704 0.         0.         0.         0.         0.76789704 0.         0.         0.        ]
 [0.         0.77736832 0.         0.         0.         0.         0.61604982 0.         0.38868416 0.        ]
 [0.         0.         0.         0.         0.         0.         2.39789527 0.         0.         0.        ]
 [0.         0.         0.38016004 0.         0.38016004 0.         0.60253941 0.         0.         0.        ]
 [0.         0.         0.         0.         0.69314718 0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.69314718 0.         0.        ]
 [0.         0.76789704 0.         0.         0.         0.         0.76789704 0.         0.         0.        ]
